ticker,alpha_id,alpha_name,exposure_score,exposure_source,exposure_evidence,is_static_seed,is_dynamic,score_contribution,score_ceiling,dominant_eligible,override_applied,artifact_source,code_source
NVDA,A001,Rate Cut Cycle,,NOT_WIRED,,False,False,none -- exposure_engine.py exists as a pure formula core only,,False,False,"none (no entity_alpha_exposures table, no exposure endpoint, no run artifact)","comqutor_alpha/exposure_engine.py (calculate_exposure/compute_entity_alpha_exposures) -- formula-only, explicitly documented as 'Not wired into the research pipeline, any HTTP API, or the database in this phase' (module docstring); comqutor_alpha/exposure/rubric_contract.py is a separate, unrelated contract-validation module (Alpha taxonomy structural contract, not an exposure score)"
NVDA,A003,Liquidity Expansion,,NOT_WIRED,,False,False,none -- exposure_engine.py exists as a pure formula core only,,False,False,"none (no entity_alpha_exposures table, no exposure endpoint, no run artifact)","comqutor_alpha/exposure_engine.py (calculate_exposure/compute_entity_alpha_exposures) -- formula-only, explicitly documented as 'Not wired into the research pipeline, any HTTP API, or the database in this phase' (module docstring); comqutor_alpha/exposure/rubric_contract.py is a separate, unrelated contract-validation module (Alpha taxonomy structural contract, not an exposure score)"
NVDA,A101,AI Expansion,,NOT_WIRED,,False,False,none -- exposure_engine.py exists as a pure formula core only,,False,False,"none (no entity_alpha_exposures table, no exposure endpoint, no run artifact)","comqutor_alpha/exposure_engine.py (calculate_exposure/compute_entity_alpha_exposures) -- formula-only, explicitly documented as 'Not wired into the research pipeline, any HTTP API, or the database in this phase' (module docstring); comqutor_alpha/exposure/rubric_contract.py is a separate, unrelated contract-validation module (Alpha taxonomy structural contract, not an exposure score)"
NVDA,A102,Inference Explosion,,NOT_WIRED,,False,False,none -- exposure_engine.py exists as a pure formula core only,,False,False,"none (no entity_alpha_exposures table, no exposure endpoint, no run artifact)","comqutor_alpha/exposure_engine.py (calculate_exposure/compute_entity_alpha_exposures) -- formula-only, explicitly documented as 'Not wired into the research pipeline, any HTTP API, or the database in this phase' (module docstring); comqutor_alpha/exposure/rubric_contract.py is a separate, unrelated contract-validation module (Alpha taxonomy structural contract, not an exposure score)"
NVDA,A103,AI Infrastructure,,NOT_WIRED,,False,False,none -- exposure_engine.py exists as a pure formula core only,,False,False,"none (no entity_alpha_exposures table, no exposure endpoint, no run artifact)","comqutor_alpha/exposure_engine.py (calculate_exposure/compute_entity_alpha_exposures) -- formula-only, explicitly documented as 'Not wired into the research pipeline, any HTTP API, or the database in this phase' (module docstring); comqutor_alpha/exposure/rubric_contract.py is a separate, unrelated contract-validation module (Alpha taxonomy structural contract, not an exposure score)"
NVDA,A201,Semiconductor Supercycle,,NOT_WIRED,,False,False,none -- exposure_engine.py exists as a pure formula core only,,False,False,"none (no entity_alpha_exposures table, no exposure endpoint, no run artifact)","comqutor_alpha/exposure_engine.py (calculate_exposure/compute_entity_alpha_exposures) -- formula-only, explicitly documented as 'Not wired into the research pipeline, any HTTP API, or the database in this phase' (module docstring); comqutor_alpha/exposure/rubric_contract.py is a separate, unrelated contract-validation module (Alpha taxonomy structural contract, not an exposure score)"
NVDA,A301,Revenue Expansion,,NOT_WIRED,,False,False,none -- exposure_engine.py exists as a pure formula core only,,False,False,"none (no entity_alpha_exposures table, no exposure endpoint, no run artifact)","comqutor_alpha/exposure_engine.py (calculate_exposure/compute_entity_alpha_exposures) -- formula-only, explicitly documented as 'Not wired into the research pipeline, any HTTP API, or the database in this phase' (module docstring); comqutor_alpha/exposure/rubric_contract.py is a separate, unrelated contract-validation module (Alpha taxonomy structural contract, not an exposure score)"
NVDA,A304,Multiple Compression,,NOT_WIRED,,False,False,none -- exposure_engine.py exists as a pure formula core only,,False,False,"none (no entity_alpha_exposures table, no exposure endpoint, no run artifact)","comqutor_alpha/exposure_engine.py (calculate_exposure/compute_entity_alpha_exposures) -- formula-only, explicitly documented as 'Not wired into the research pipeline, any HTTP API, or the database in this phase' (module docstring); comqutor_alpha/exposure/rubric_contract.py is a separate, unrelated contract-validation module (Alpha taxonomy structural contract, not an exposure score)"
NVDA,A501,Recession Risk,,NOT_WIRED,,False,False,none -- exposure_engine.py exists as a pure formula core only,,False,False,"none (no entity_alpha_exposures table, no exposure endpoint, no run artifact)","comqutor_alpha/exposure_engine.py (calculate_exposure/compute_entity_alpha_exposures) -- formula-only, explicitly documented as 'Not wired into the research pipeline, any HTTP API, or the database in this phase' (module docstring); comqutor_alpha/exposure/rubric_contract.py is a separate, unrelated contract-validation module (Alpha taxonomy structural contract, not an exposure score)"
NVDA,A601,Narrative Momentum,,NOT_WIRED,,False,False,none -- exposure_engine.py exists as a pure formula core only,,False,False,"none (no entity_alpha_exposures table, no exposure endpoint, no run artifact)","comqutor_alpha/exposure_engine.py (calculate_exposure/compute_entity_alpha_exposures) -- formula-only, explicitly documented as 'Not wired into the research pipeline, any HTTP API, or the database in this phase' (module docstring); comqutor_alpha/exposure/rubric_contract.py is a separate, unrelated contract-validation module (Alpha taxonomy structural contract, not an exposure score)"
