run_id,ticker,claim_id,agent,claim,predicted_quality,original_predicted_quality,manual_review_label,error_type,review_notes,reviewer,sample_hash
66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1:neutral_risk_analyst:risk_debate_state.neutral_history:claim:5,neutral_risk_analyst,"Yes, the $2.566 billion in free cash flow is exceptional.",context_only,context_only,VALID_CONTEXT_ONLY,,Factual FCF figure with a qualitative adjective; no directional/risk/relation content.,CODEX_INTERNAL_MANUAL_REVIEW_NOT_INDEPENDENT,0012adb4d0a1d3836a70a2ffda9ab80bce37aa040c8cec7d5ebc95ec9dd4e407
66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1:bear_researcher:investment_debate_state.bear_history:claim:7,bear_researcher,I'm not saying AI is a bubble.,context_only,context_only,VALID_CONTEXT_ONLY,,Rhetorical hedge within a debate; thin but not a defined non-substantive category.,CODEX_INTERNAL_MANUAL_REVIEW_NOT_INDEPENDENT,033d567ef4cb3d2e5efa5d5e5dea1b35f815bf6aad3a0fae9ed9ec1e88978186
66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1:bear_researcher:investment_debate_state.bear_history:claim:63,bear_researcher,The 200-day SMA sits at $305.68.,context_only,context_only,VALID_CONTEXT_ONLY,,Concrete technical indicator value (200-day SMA level).,CODEX_INTERNAL_MANUAL_REVIEW_NOT_INDEPENDENT,034aec56c41465b0f1a57745185efca234b5b05c99c2d95aae7a5e19e8076389
66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1:neutral_risk_analyst:risk_debate_state.neutral_history:claim:26,neutral_risk_analyst,That is not disciplined aggression.,context_only,context_only,VALID_CONTEXT_ONLY,,Rhetorical rebuttal; thin but not a defined non-substantive category.,CODEX_INTERNAL_MANUAL_REVIEW_NOT_INDEPENDENT,03fd4eb574520516af383792f692e5b38ab141dea8f617edc4f780ad52d82c4f
66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1:neutral_risk_analyst:risk_debate_state.neutral_history:claim:59,neutral_risk_analyst,This is not timidity.,context_only,context_only,VALID_CONTEXT_ONLY,,Rhetorical rebuttal; thin but not a defined non-substantive category.,CODEX_INTERNAL_MANUAL_REVIEW_NOT_INDEPENDENT,04100f8f933efe6bf7f50f4ab75076347224b885fb48e2a09be3dfb5d8984888
66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1:conservative_risk_analyst:risk_debate_state.conservative_history:claim:2,conservative_risk_analyst,"Yes, the $2.566 billion in free cash flow is real.",context_only,context_only,VALID_CONTEXT_ONLY,,Factual FCF figure with a qualitative adjective.,CODEX_INTERNAL_MANUAL_REVIEW_NOT_INDEPENDENT,057ba3c56612c4e31f019f68558464e921e78cf884052bb36ecc7650558bd51d
66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1:portfolio_manager:final_trade_decision:claim:11,portfolio_manager,Structural gross margin expansion.,analytical,context_only,SHOULD_BE_ANALYTICAL,MISSED_NOMINALIZED_STATE_CHANGE_TERM,'Structural gross margin expansion' -- expansion (noun) is a real trend claim; fixed by adding nominalized state-change nouns.,CODEX_INTERNAL_MANUAL_REVIEW_NOT_INDEPENDENT,05f38e78f15d312de410fab2ae14e2fb6936d22eda5b82e0bf84a96da19c6fd4
66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1:bear_researcher:investment_debate_state.bear_history:claim:44,bear_researcher,"And here's the kicker: the market already knew analyst upgrades were coming, and it sold the stock anyway.",context_only,context_only,VALID_CONTEXT_ONLY,,"Describes a market reaction to anticipated news; real information but not a crisp, primary directional assertion.",CODEX_INTERNAL_MANUAL_REVIEW_NOT_INDEPENDENT,06558308d6a7436e88ec4a53dfb6db1e87fecc29da2e8bb92e0cc102ac840861
66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1:neutral_risk_analyst:risk_debate_state.neutral_history:claim:42,neutral_risk_analyst,I am not saying AMD is immune to the capex selloff narrative.,analytical,context_only,VALID_CONTEXT_ONLY,,References real domain content (capex selloff narrative) even though wrapped in a hedge.,CODEX_INTERNAL_MANUAL_REVIEW_NOT_INDEPENDENT,07a375aa1ffc7c6aa6094d830decc12e91982bc073d4c725f760b657abba2b41
66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1:conservative_risk_analyst:risk_debate_state.conservative_history:claim:14,conservative_risk_analyst,"The aggressive analyst is asking us to accept elevated short-term technical deterioration, elevated volatility, and earnings uncertainty simultaneously, and to call that disciplined aggression.",analytical,context_only,VALID_CONTEXT_ONLY,,"Meta-critique listing elevated volatility/earnings-uncertainty risk factors, but the sentence's primary thrust is critiquing the other analyst's framing rather than asserting them directly.",CODEX_INTERNAL_MANUAL_REVIEW_NOT_INDEPENDENT,08e57cc5a683316ffbe10323371dcc2715119a983be6a39350bb935c0947513e
